id,date,price,lat,lon
1,1/1,268.88,40.837874,-73.905894
2,1/1,268.88,40.637561,-74.110266
3,1/1,268.88,40.637561,-74.110266
4,1/1,268.88,40.841387,-73.834681
5,1/1,268.88,40.841387,-73.834681
6,1/1,268.88,40.671272,-73.907963
7,1/1,268.88,40.671272,-73.907963
8,1/1,268.88,40.714142,-73.988695
9,1/1,268.88,40.821060,-73.918083
10,1/1,268.88,40.821060,-73.918083
11,1/1,268.88,40.816570,-73.909018
12,1/1,268.88,40.816590,-73.906657
13,1/1,268.88,40.816059,-73.906974
14,1/1,268.88,40.753747,-73.963948
15,1/1,268.88,40.788681,-73.943826
16,1/1,268.88,40.756260,-73.947471
17,1/2,268.88,40.680200,-73.949763
18,1/2,268.88,40.686393,-73.954830
19,1/2,268.88,40.686765,-73.941997
20,1/2,268.88,40.686765,-73.941997
21,1/2,268.88,40.821960,-73.917053
22,1/2,268.88,40.821976,-73.919006
23,1/2,268.88,40.783261,-73.944813
24,1/3,268.88,40.637084,-73.957799
25,1/3,268.88,40.652998,-73.734060
26,1/3,268.88,40.652250,-73.734099
27,1/3,268.88,40.612749,-73.963740
28,1/3,268.88,40.596570,-73.772455
29,1/3,268.88,40.801062,-73.934213
30,1/3,268.88,40.801405,-73.933814
31,1/4,268.99,40.664965,-73.922870
32,1/4,268.99,40.730004,-73.983525
33,1/4,268.99,40.595047,-73.784531
34,1/4,268.99,40.821060,-73.918083
35,1/4,268.99,40.732267,-73.813685
36,1/4,268.99,40.835095,-73.922696
37,1/4,268.99,40.757343,-73.966557
38,1/4,268.99,40.757343,-73.966557
39,1/4,268.99,40.757343,-73.966557
40,1/5,269.1,40.651264,-73.940052
41,1/5,269.1,40.600625,-74.003594
42,1/5,269.1,40.784945,-73.953588
43,1/5,269.1,40.784945,-73.953588
44,1/5,269.1,40.784945,-73.953588
45,1/5,269.1,40.589862,-73.979994
46,1/5,269.1,40.589862,-73.979994
47,1/5,269.1,40.821976,-73.919006
48,1/5,269.1,40.623101,-74.082144
49,1/5,269.1,40.591920,-73.982754
50,1/5,269.1,40.848998,-73.916452
51,1/7,269.1,40.760950,-73.938634
52,1/7,269.1,40.762140,-73.937825
53,1/7,269.1,40.679888,-73.949792
54,1/7,269.1,40.679888,-73.949792
55,1/7,269.1,40.835223,-73.920242
56,1/7,269.1,40.667615,-73.864847
57,1/7,269.1,40.595688,-74.000213
58,1/8,269.11,40.648300,-73.928069
59,1/8,269.11,40.811223,-73.937144
60,1/8,269.11,40.821441,-73.890115
61,1/9,269.04,40.679781,-73.938426
62,1/9,269.04,40.633966,-74.085750
63,1/9,269.04,40.633966,-74.085750
64,1/9,269.04,40.633966,-74.085750
65,1/9,269.04,40.796020,-73.940530
66,1/9,269.04,40.796020,-73.940530
67,1/9,269.04,40.614389,-74.083854
68,1/9,269.04,40.666055,-73.952052
69,1/9,269.04,40.817144,-73.905321
70,1/9,269.04,40.817144,-73.905321
71,1/9,269.04,40.753983,-73.942382
72,1/9,269.04,40.848998,-73.916452
73,1/9,269.04,40.781956,-73.945688
74,1/10,268.97,40.663333,-73.960607
75,1/10,268.97,40.663333,-73.960607
76,1/10,268.97,40.643241,-73.948759
77,1/10,268.97,40.643241,-73.948759
78,1/10,268.97,40.643241,-73.948759
79,1/10,268.97,40.654676,-73.917036
80,1/10,268.97,40.652910,-73.944970
81,1/10,268.97,40.723279,-73.975633
82,1/10,268.97,40.750771,-73.968439
83,1/10,268.97,40.750771,-73.968439
84,1/10,268.97,40.644125,-73.930333
85,1/11,268.93,40.597218,-73.991075
86,1/11,268.93,40.610473,-73.750278
87,1/11,268.93,40.666914,-73.903990
88,1/11,268.93,40.652928,-73.959327
89,1/11,268.93,40.652928,-73.959327
90,1/11,268.93,40.652928,-73.959327
91,1/11,268.93,40.652928,-73.959327
92,1/11,268.93,40.722867,-73.975935
93,1/11,268.93,40.598372,-73.987939
94,1/12,268.89,40.726303,-73.974116
95,1/12,268.89,40.658363,-73.930079
96,1/12,268.89,40.658363,-73.930079
97,1/12,268.89,40.722216,-73.977307
98,1/12,268.89,40.722216,-73.977307
99,1/12,268.89,40.674794,-73.937503
100,1/12,268.89,40.815603,-73.904760
101,1/12,268.89,40.809969,-73.936043
102,1/12,268.89,40.788058,-73.944277
103,1/12,268.89,40.830310,-73.936488
104,1/13,268.8,40.815603,-73.904760
105,1/13,268.8,40.744230,-73.986841
106,1/13,268.8,40.572257,-73.996311
107,1/13,268.8,40.837040,-73.905692
108,1/13,268.8,40.755330,-73.991177
109,1/13,268.8,40.834842,-73.907488
110,1/13,268.8,40.650391,-73.958709
111,1/13,268.8,40.675537,-73.870995
112,1/14,268.76,40.680169,-73.950144
113,1/14,268.76,40.833336,-73.907951
114,1/14,268.76,40.833427,-73.907773
115,1/14,268.76,40.674981,-73.736916
116,1/14,268.76,40.837874,-73.905894
117,1/14,268.76,40.631900,-73.943654
118,1/14,268.76,40.631900,-73.943654
119,1/14,268.76,40.643467,-73.944909
120,1/15,268.61,40.639187,-73.929409
121,1/15,268.61,40.787235,-73.943752
122,1/15,268.61,40.680676,-73.949608
123,1/15,268.61,40.682548,-73.950009
124,1/15,268.61,40.680375,-73.949508
125,1/15,268.61,40.639826,-73.983818
126,1/15,268.61,40.619738,-73.989566
127,1/15,268.61,40.619738,-73.989566
128,1/15,268.61,40.619738,-73.989566
129,1/15,268.61,40.833575,-73.908504
130,1/16,268.67,40.773972,-73.932434
131,1/16,268.67,40.787380,-73.945339
132,1/16,268.67,40.754615,-73.943084
133,1/16,268.67,40.698402,-73.929244
134,1/16,268.67,40.595892,-73.938717
135,1/16,268.67,40.595892,-73.938717
136,1/16,268.67,40.788267,-73.939517
137,1/16,268.67,40.788058,-73.944277
138,1/16,268.67,40.788058,-73.944277
139,1/16,268.67,40.788058,-73.944277
140,1/16,268.67,40.701505,-73.827912
141,1/16,268.67,40.701505,-73.827912
142,1/16,268.67,40.712784,-74.005941
143,1/16,268.67,40.662591,-73.965236
144,1/16,268.67,40.725698,-73.740312
145,1/16,268.67,40.725698,-73.740312
146,1/17,268.67,40.824834,-73.906216
147,1/17,268.67,40.758949,-73.995945
148,1/17,268.67,40.602505,-73.748662
149,1/17,268.67,40.602505,-73.748662
150,1/17,268.67,40.680290,-73.947713
151,1/17,268.67,40.613327,-74.087160
152,1/17,268.67,40.613327,-74.087160
153,1/17,268.67,40.613327,-74.087160
154,1/17,268.67,40.613327,-74.087160
155,1/17,268.67,40.613327,-74.087160
